year,date,tournament,level,division,category,placement,total_teams,school,city,state
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,12,34,Air Academy High School,Air Force Academy,CO
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,13,34,Glencliff High School,Nashville,TN
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,14,34,Troy High School,Troy,MI
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,15,34,Middlesboro High School,Middlesboro,KY
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,16,34,Lakeridge High School,Lake Oswego,OR
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,17,34,Saint Mark's High School,Wilmington,DE
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,18,34,Neenah High School,Neenah,WI
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,19,34,Auburn High School,Auburn,AL
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,20,34,Westside High School,Augusta,GA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,21,34,Wallenpaupack Area High School,Hawley,PA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,23,34,Westview High School,Martin,TN
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,25,34,Northside High School,Lafayette,LA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,26,34,Valley City Junior/Senior High School,Valley City,ND
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,27,34,Klein Oak High School,Klein,TX
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,28,34,Williamsville North High School,Buffalo,NY
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,29,34,Northeast Guilford High School,McLeansville,NC
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,30,34,Yankton High School,Yankton,SD
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,31,34,Modesto High School,Modesto,CA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,32,34,Donald E. Gavit Junior/Senior High School,Hammond,IN
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,33,34,Klein High School,Klein,TX
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,34,34,North Carolina School of Science and Mathematics,Durham,NC
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,35,34,Buffalo Grove High School,Buffalo Grove,IL
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,36,34,Syosset High School,Syosset,NY
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,37,34,Old Town High School,Old Town,ME
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,1,39,Irmo High School,Columbia,SC
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,2,39,Gompers Secondary School,San Diego,CA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,3,39,Williamsville North High School,Buffalo,NY
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,4,39,Eisenhower High School,Shelby Township,MI
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,5,39,Seaholm High School,Birmingham,MI
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,6,39,Centerville High School,Centerville,OH
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,7,39,Haverford High School,Havertown,PA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,8,39,Helena High School,Helena,MT
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,9,39,Findlay High School,Findlay,OH
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,10,39,Lakeridge High School,Lake Oswego,OR
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,11,39,Hershey High School,Hershey,PA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,12,39,Maine West High School,Des Plaines,IL
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,13,39,Klein High School,Klein,TX
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,14,39,Niskayuna High School,Niskayuna,NY
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,15,39,Madison West High School,Madison,WI
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,16,39,Auburn High School,Auburn,AL
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,17,39,Bangor High School,Bangor,ME
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,18,39,Tift County High School,Tifton,GA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,19,39,Saint Mark's High School,Wilmington,DE
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,20,39,Chapel Hill High School,Chapel Hill,NC
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,21,39,Washington Park High School,Racine,WI
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,22,39,Yankton High School,Yankton,SD
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,23,39,Red Wing High School,Red Wing,MN
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,24,39,North Central High School,Indianapolis,IN
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,25,39,New Trier Township High School,Winnetka,IL
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,26,39,Alexis I. duPont High School,Greenville,DE
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,27,39,Overland High School,Aurora,CO
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,28,39,Socorro High School,Socorro,NM
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,29,39,Concord-Carlisle High School,Concord,MA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,30,39,Valley City Junior/Senior High School,Valley City,ND
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,31,39,Toledo High School,Toledo,WA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,32,39,Westside High School,Augusta,GA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,33,39,Totino-Grace High School,Fridley,MN
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,34,39,Portland High School,Portland,MI
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,35,39,Downey High School,Modesto,CA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,36,39,Northshore High School,Slidell,LA
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,37,39,Westview High School,Martin,TN
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,38,39,Shawnee Mission South High School,Overland Park,KS
1987,1987-01-01,1987-01-01_nationals_c,Nationals,C,nationals,39,39,Middlesboro High School,Middlesboro,KY
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,1,43,Haverford High School,Havertown,PA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,2,43,Irmo High School,Columbia,SC
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,3,43,Gompers Secondary School,San Diego,CA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,4,43,Washington Park High School,Racine,WI
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,5,43,Eisenhower High School,Shelby Township,MI
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,6,43,Cicero-North Syracuse High School,Cicero,NY
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,7,43,Seaholm High School,Birmingham,MI
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,8,43,Hershey High School,Hershey,PA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,9,43,Saint Mark's High School,Wilmington,DE
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,10,43,Maine East High School,Park Ridge,IL
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,11,43,Lakeridge High School,Lake Oswego,OR
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,12,43,Centerville High School,Centerville,OH
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,13,43,University High School,Tucson,AZ
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,14,43,Niskayuna High School,Niskayuna,NY
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,15,43,Tift County High School,Tifton,GA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,16,43,Wheeling High School,Wheeling,IL
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,17,43,North Central High School,Indianapolis,IN
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,18,43,Klein High School,Klein,TX
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,19,43,Air Academy High School,Air Force Academy,CO
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,20,43,Helena High School,Helena,MT
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,21,43,Chapel Hill High School,Chapel Hill,NC
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,22,43,Madison West High School,Madison,WI
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,23,43,Overland High School,Aurora,CO
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,24,43,Red Wing High School,Red Wing,MN
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,25,43,Auburn High School,Auburn,AL
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,26,43,Acton-Boxborough Regional High School,Acton,MA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,27,43,Waynflete School,Portland,ME
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,28,43,Fargo South High School,Fargo,ND
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,29,43,White Bear Lake Area High School,White Bear Lake,MN
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,30,43,Alexis I. duPont High School,Greenville,DE
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,31,43,Crisp County High School,Cordele,GA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,32,43,Edison High School,Milan,OH
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,33,43,Lanier High School,Montgomery,AL
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,34,43,Ooltewah High School,Ooltewah,TN
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,35,43,Albuquerque Academy,Albuquerque,NM
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,36,43,Oak Ridge High School,Oak Ridge,TN
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,37,43,Middlesboro High School,Middlesboro,KY
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,38,43,Washington High School,Kansas City,KS
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,39,43,North Carolina School of Science and Mathematics,Durham,NC
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,40,43,Central High School,Rapid City,SD
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,41,43,Ladue Horton Watkins High School,St. Louis,MO
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,42,43,Toledo High School,Toledo,WA
1988,1988-01-01,1988-01-01_nationals_c,Nationals,C,nationals,43,43,Papillion-La Vista High School,Papillion,NE
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,1,25,Bell Junior High School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,2,25,Cerro Villa Middle School,Villa Park,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,3,25,Eagle Rock High School,Los Angeles,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,4,25,Granger Junior High School,National City,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,5,25,Carr Intermediate School,Santa Ana,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,6,25,Northridge Middle School,Northridge,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,7,25,MacQueen Middle School,Alpine,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,8,25,Marco Forster Middle School,San Juan Capistrano,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,9,25,Ramona Middle School,LaVerne,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,10,25,Roosevelt Middle School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,11,25,Vista Verde K-8 School,Irvine,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,12,25,Carver Middle School,Los Angeles,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,13,25,Tierra Del Sol Middle School,Lakeside,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,14,25,McArthur Fundamental Intermediate School,Santa Ana,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,15,25,Eliot Middle School,Altadena,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,16,25,Spring Valley Academy,Spring Valley,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,17,25,Lydia Romero-Cruz Academy,Santa Ana,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,18,25,Matthew Gage Middle School,Riverside,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,19,25,R. Roger Rowe School,Rancho Santa Fe,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,20,25,La Paz Intermediate School,Mission Viejo,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,21,25,Garvey Intermediate School,Rosemead,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,22,25,Montgomery Middle School,,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,23,25,Parks Junior High School,Fullerton,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,24,25,Gompers Secondary School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_b,States,B,ca_states,25,25,Columbus Tustin Middle School,Tustin,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,26,25,Gompers Secondary School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,27,25,Troy High School,Fullerton,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,28,25,Warren High School,Downey,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,29,25,Sweetwater High School,National City,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,30,25,La Habra High School,La Habra,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,31,25,Eagle Rock High School,Los Angeles,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,32,25,San Diego High School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,33,25,Sonora High School,La Habra,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,34,25,Beverly Hills High School,Beverly Hills,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,35,25,Morse High School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,36,25,Woodbridge High School,Irvine,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,37,25,Sierra Vista High School,Baldwin Park,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,38,25,Mt. Miguel High School,Spring Valley,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,39,25,Bolsa Grande High School,Garden Grove,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,40,25,Saint Francis High School,La Canada Flintridge,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,41,25,Vista High School,Vista,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,42,25,Irvine High School,Irvine,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,43,25,Downey High School,Downey,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,44,25,Patrick Henry High School,San Diego,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,45,25,El Toro High School,Lake Forest,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,46,25,Redondo Union High School,Redondo Beach,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,47,25,La Jolla High School,La Jolla,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,48,25,El Modena High School,Orange,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,49,25,Banning High School,Wilmington,CA
1988,1988-01-01,1988-01-01_sCA_states_c,States,C,ca_states,50,25,Moorpark High School,Moorpark,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,1,9,Hewes Middle School,Santa Ana,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,2,9,Moore Middle School,Redlands,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,3,9,Columbus Tustin Middle School,Tustin,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,4,9,Cerro Villa Middle School,Villa Park,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,5,9,Ladera Vista Junior High School of the Arts,Fullerton,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,6,9,Vista Verde K-8 School,Irvine,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,7,9,McArthur Fundamental Intermediate School,Santa Ana,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,8,9,Marco Forster Middle School,San Juan Capistrano,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_b,Regionals,B,sca_regional,9,9,Lydia Romero-Cruz Academy,Santa Ana,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,1,18,La Habra High School,La Habra,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,2,18,Troy High School,Fullerton,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,3,18,Brea Olinda High School,Brea,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,4,18,Esperanza High School,Anaheim,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,5,18,Sonora High School,La Habra,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,6,18,Irvine High School,Irvine,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,7,18,Fullerton Union High School,Fullerton,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,8,18,Laguna Hills High School,Laguna Hills,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,9,18,Los Amigos High School,Fountain Valley,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,10,18,Bolsa Grande High School,Garden Grove,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,11,18,Garden Grove High School,Garden Grove,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,12,18,Villa Park High School,Villa Park,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,13,18,Woodbridge High School,Irvine,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,14,18,University High School,Irvine,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,15,18,Saddleback High School,Santa Ana,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,16,18,El Modena High School,Orange,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,17,18,Lorin Griset Academy,Santa Ana,CA
1989,1989-03-10,1989-03-10_sCA_orange_county_regional_c,Regionals,C,sca_regional,18,18,Santa Ana High School,Santa Ana,CA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,5,47,Irmo High School,Columbia,SC
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,13,47,Madison West High School,Madison,WI
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,24,47,Haverford High School,Havertown,PA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,36,47,Eisenhower High School,Shelby Township,MI
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,25,47,La Jolla High School,La Jolla,CA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,33,47,Centerville High School,Centerville,OH
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,32,47,Oak Park High School,Kansas City,MO
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,42,47,Webster Thomas High School,Webster,NY
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,30,47,Cicero-North Syracuse High School,Cicero,NY
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,28,47,Stroudsburg High School,Stroudsburg,PA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,18,47,Washington Park High School,Racine,WI
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,23,47,Hickman High School,Columbia,MO
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,7,47,Saint Mark's High School,Wilmington,DE
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,15,47,Wheeling High School,Wheeling,IL
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,31,47,Holt High School,Holt,MI
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,16,47,Clinton High School,Clinton,SC
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,4,47,Alexis I. duPont High School,Greenville,DE
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,39,47,Tift County High School,Tifton,GA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,14,47,Air Academy High School,Air Force Academy,CO
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,20,47,White Bear Lake Area High School,White Bear Lake,MN
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,47,47,Lanier High School,Montgomery,AL
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,29,47,Beavercreek High School,Beavercreek,OH
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,19,47,New Trier Township High School,Winnetka,IL
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,37,47,Yankton High School,Yankton,SD
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,11,47,Lakeridge High School,Lake Oswego,OR
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,22,47,Stone Mountain High School,Stone Mountain,GA
1989,1989-05-20,1989-05-20_nationals_c,Nationals,C,nationals,34,47,Fargo South High School,Fargo,ND
